Timestamp,Model,Sigma,Degree,LR,FinalLoss,Equation_Theta,Equation_Omega
20260111_155428,integrator,5,2,0.001,387.2441,1.00000omega,-0.001861 + -0.15341theta + -0.00003omega + -0.02904theta^2 + 0.00597theta omega + -0.00215omega^2
20260116_214330,sparse,5,2,0.001,200,622.1312,-0.357931 + -0.27524theta + 0.89145omega + 0.17893theta^2 + -0.13632theta omega + 0.11137omega^2,-0.559681 + -1.46644theta + 0.30572omega + -0.13219theta^2 + 0.60894theta omega + 0.20096omega^2
20260118_000533,integrator,60.0,2,0.001,1000,nan,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
20260118_001206,integrator,60.0,2,0.001,200,nan,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
20260118_010903,integrator,0.0,2,0.001,1000,732.4144,1.00000omega,0.002681 + -0.02665theta + 0.00021omega + -0.01535theta^2 + 0.00881theta omega + -0.00129omega^2
20260118_011513,integrator,2.0,2,0.001,1000,667.3288,1.00000omega,-0.005401 + -0.04049theta + 0.00411omega + -0.04007theta^2 + 0.01433theta omega + -0.00346omega^2
20260118_011715,integrator,10.0,2,0.001,1000,215.1246,1.00000omega,-0.011071 + -0.05031theta + 0.00116omega + -0.01889theta^2 + 0.01924theta omega + -0.00200omega^2
20260118_012324,integrator,5.0,2,0.001,1000,526.1063,1.00000omega,0.000541 + -0.04732theta + -0.00367omega + -0.01543theta^2 + 0.01739theta omega + -0.00484omega^2
20260118_013337,integrator,5.0,2,0.001,1000,811.9506,1.00000omega,0.000581 + -0.05992theta + 0.00919omega + -0.01709theta^2 + 0.02954theta omega + -0.00245omega^2
20260118_013946,integrator,5.0,2,0.001,1000,nan,1.00000omega,nan1 + nantheta + nanomega + nantheta^2 + nantheta omega + nanomega^2
20260118_014352,sparse,5.0,2,0.001,1000,221.3582,0.194921 + 0.03645theta + 0.93728omega + -0.03607theta^2 + 0.07020theta omega + -0.03401omega^2,-0.865311 + -2.01368theta + 0.96482omega + 0.01189theta^2 + 0.51049theta omega + 0.57122omega^2
